"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"adaptiveModelWithBV.nlogox"
"prolifAndDrugMolecule"
"04/09/2026 00:31:10:368 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","max-drug","resource","proliferationP-DP","blood-vessel-width","drugMolecule","invasion-threshold","adaptive-burden-threshold","bolusAmount","PRO-to-DP","invasionP-DP","adaptive-therapy","cell-count","starvingThreshold","timeInterval","startTime","resourceRate","nextBolusTime","[step]","count patches with [pcolor = black]","count patches with [pcolor = orange]","proliferationP-PRO"
"163","2600","10","0.15","0","1400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","187","6323","488","0.155"
"162","2600","10","0.14","0","1400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","212","4015","2776","0.14500000000000002"
"169","2600","10","0","0","1600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","51","0","0","0.005"
"164","2600","10","0.16","0","1400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","176","4688","2136","0.165"
"166","2600","10","0.18","0","1400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","155","5322","1502","0.185"
"165","2600","10","0.17","0","1400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","167","5029","1775","0.17500000000000002"
"170","2600","10","0.01","0","1600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","64","0","0","0.015"
"168","2600","10","0.2","0","1400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","143","5328","1522","0.20500000000000002"
"167","2600","10","0.19","0","1400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","157","3122","3689","0.195"
"172","2600","10","0.03","0","1600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","201","0","0","0.034999999999999996"
"154","2600","10","0.06","0","1400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","586","6792","0","0.065"
"171","2600","10","0.02","0","1600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","269","0","0","0.025"
"180","2600","10","0.11","0","1600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","242","6764","41","0.115"
"178","2600","10","0.09","0","1600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","338","6214","578","0.095"
"179","2600","10","0.1","0","1600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","281","6595","211","0.10500000000000001"
"181","2600","10","0.12","0","1600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","250","5456","1362","0.125"
"132","2600","10","0.05","0","1200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","1063","6822","0","0.055"
"182","2600","10","0.13","0","1600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","203","6722","80","0.135"
"184","2600","10","0.15","0","1600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","191","5299","1527","0.155"
"183","2600","10","0.14","0","1600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","217","4360","2436","0.14500000000000002"
"185","2600","10","0.16","0","1600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","179","5581","1223","0.165"
"173","2600","10","0.04","0","1600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","539","0","0","0.045"
"186","2600","10","0.17","0","1600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","169","4508","2327","0.17500000000000002"
"190","2600","10","0","0","1800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","47","0","0","0.005"
"191","2600","10","0.01","0","1800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","64","0","0","0.015"
"187","2600","10","0.18","0","1600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","167","3129","3735","0.185"
"177","2600","10","0.08","0","1600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","595","5797","1022","0.085"
"189","2600","10","0.2","0","1600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","138","6559","306","0.20500000000000002"
"188","2600","10","0.19","0","1600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","153","4762","2128","0.195"
"193","2600","10","0.03","0","1800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","110","0","0","0.034999999999999996"
"192","2600","10","0.02","0","1800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","139","0","0","0.025"
"176","2600","10","0.07","0","1600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","593","6680","128","0.07500000000000001"
"200","2600","10","0.1","0","1800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","276","6734","83","0.10500000000000001"
"201","2600","10","0.11","0","1800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","252","6235","594","0.115"
"199","2600","10","0.09","0","1800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","308","6748","45","0.095"
"175","2600","10","0.06","0","1600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","742","6798","0","0.065"
"198","2600","10","0.08","0","1800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","371","6828","2","0.085"
"202","2600","10","0.12","0","1800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","225","6597","203","0.125"
"204","2600","10","0.14","0","1800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","210","5414","1461","0.14500000000000002"
"203","2600","10","0.13","0","1800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","239","3405","3417","0.135"
"153","2600","10","0.05","0","1400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","1090","6793","0","0.055"
"205","2600","10","0.15","0","1800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","200","4119","2695","0.155"
"206","2600","10","0.16","0","1800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","178","4796","2008","0.165"
"197","2600","10","0.07","0","1800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","481","6817","0","0.07500000000000001"
"211","2600","10","0","0","2000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","46","0","0","0.005"
"212","2600","10","0.01","0","2000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","69","0","0","0.015"
"208","2600","10","0.18","0","1800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","156","5693","1154","0.185"
"209","2600","10","0.19","0","1800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","145","6688","169","0.195"
"207","2600","10","0.17","0","1800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","162","6190","609","0.17500000000000002"
"213","2600","10","0.02","0","2000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","99","0","0","0.025"
"210","2600","10","0.2","0","1800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","145","4638","2194","0.20500000000000002"
"214","2600","10","0.03","0","2000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","154","0","0","0.034999999999999996"
"196","2600","10","0.06","0","1800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","554","6812","0","0.065"
"68","2600","10","0.04","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","3310","0","0","0.045"
"221","2600","10","0.1","0","2000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","269","6622","169","0.10500000000000001"
"222","2600","10","0.11","0","2000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","257","6797","13","0.115"
"220","2600","10","0.09","0","2000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","318","6696","109","0.095"
"223","2600","10","0.12","0","2000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","243","5935","896","0.125"
"219","2600","10","0.08","0","2000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","397","6701","88","0.085"
"225","2600","10","0.14","0","2000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","206","6026","788","0.14500000000000002"
"224","2600","10","0.13","0","2000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","216","6456","378","0.135"
"226","2600","10","0.15","0","2000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","216","3778","3027","0.155"
"227","2600","10","0.16","0","2000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","196","3654","3185","0.165"
"218","2600","10","0.07","0","2000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","422","6802","0","0.07500000000000001"
